50	0.32	4.1	-2.3
100	0.65	3.8	-2.0
200	1.3	3.5	-1.8
500	3.2	3.2	-1.7
1000	6.2	3.0	-1.6
2000	12	2.7	-1.6
5000	27	2.3	-1.5
10000	47	2.0	-1.4
20000	77	1.8	-1.3
50000	140	1.5	-1.2
100000	210	1.4	-1.2
200000	310	1.5	-1.1
500000	490	1.6	-1.0
1.e6	690	1.7	-0.9
2.e6	950	1.9	-0.9
5.e6	1400	2.0	-0.9
1.e7	1900	2.2	-0.9
2.e7	2600	2.3	-0.9
5.e7	3700	2.5	-0.9
1.e8	4800	2.7	-0.9
2.e8	6200	2.8	-1.0
5.e8	8700	3.0	-1.1
1.e9	11000	3.1	-1.2
2.e9	14000	3.3	-1.2
5.e9	19000	3.4	-1.4
1.e10	24000	3.6	-1.5
2.e10	30000	3.7	-1.6
5.e10	39000	3.8	-1.7
1.e11	48000	4.0	-1.8
2.e11	59000	4.1	-1.9
5.e11	75000	4.2	-2.0
