50	0.1	3.8	-1.9
100	0.2	3.5	-1.8
200	0.41	3.2	-1.6
500	1.0	2.9	-1.5
1000	2.0	2.7	-1.4
2000	3.8	2.4	-1.3
5000	8.6	2.1	-1.3
10000	15	1.8	-1.2
20000	26	1.6	-1.1
50000	49	1.3	-1.
100000	75	1.2	-1.
200000	110	1.2	-0.9
500000	180	1.3	-0.8
1.e6	260	1.4	-0.8
2.e6	360	1.6	-0.8
5.e6	540	1.8	-0.8
1.e7	730	2.0	-0.8
2.e7	980	2.2	-0.8
5.e7	1400	2.4	-0.9
1.e8	1900	2.6	-0.9
2.e8	2400	2.7	-1.
5.e8	3400	2.9	-1.
1.e9	4400	3.0	-1.1
2.e9	5600	3.2	-1.2
5.e9	7600	3.4	-1.3
1.e10	9600	3.5	-1.4
2.e10	12000	3.6	-1.5
5.e10	16000	3.8	-1.7
1.e11	20000	3.9	-1.8
2.e11	24000	4.0	-1.9
5.e11	31000	4.2	-2.0
