50	0.21	7.5	-4.2
100	0.43	6.9	-3.6
200	0.88	6.3	-3.4
500	2.2	5.6	-3.1
1000	4.4	5.1	-2.9
2000	8.5	4.5	-2.7
5000	20	3.5	-2.4
10000	35	2.8	-2.2
20000	61	2.3	-1.9
50000	120	1.8	-1.6
100000	180	1.7	-1.4
200000	270	1.7	-1.2
500000	450	1.7	-1.1
1.e6	640	1.8	-1.0
2.e6	900	1.9	-1.0
5.e6	1400	2.1	-0.9
1.e7	1900	2.2	-0.9
2.e7	2500	2.4	-0.9
5.e7	3600	2.6	-0.9
1.e8	4800	2.7	-1.0
2.e8	6200	2.8	-1.0
5.e8	8600	3.0	-1.1
1.e9	11000	3.1	-1.2
2.e9	14000	3.3	-1.3
5.e9	19000	3.4	-1.4
1.e10	24000	3.6	-1.5
2.e10	29000	3.7	-1.6
5.e10	39000	3.8	-1.7
1.e11	48000	4.0	-1.8
2.e11	59000	4.1	-1.9
5.e11	75000	4.2	-2.0
