50	0.09	4.5	-2.2
100	0.19	4.1	-2.1
200	0.39	3.8	-1.9
500	0.95	3.4	-1.8
1000	1.9	3.1	-1.7
2000	3.6	2.9	-1.6
5000	8.3	2.5	-1.5
10000	15	2.2	-1.4
20000	25	1.9	-1.3
50000	48	1.5	-1.2
100000	73	1.3	-1.1
200000	110	1.2	-1.
500000	180	1.3	-0.9
1.e6	250	1.4	-0.8
2.e6	350	1.6	-0.8
5.e6	540	1.8	-0.8
1.e7	730	2.0	-0.8
2.e7	980	2.2	-0.8
5.e7	1400	2.4	-0.8
1.e8	1900	2.5	-0.9
2.e8	2400	2.7	-0.9
5.e8	3400	2.9	-1.
1.e9	4400	3.0	-1.1
2.e9	5600	3.2	-1.2
5.e9	7600	3.4	-1.3
1.e10	9600	3.5	-1.4
2.e10	12000	3.6	-1.5
5.e10	16000	3.8	-1.7
1.e11	20000	3.9	-1.8
2.e11	24000	4.0	-1.9
5.e11	31000	4.2	-2.0
