50	0.15	15.0	-9.0
100	0.33	13.3	-7.4
200	0.69	11.9	-6.5
500	1.8	10.5	-5.7
1000	3.6	9.4	-5.2
2000	7.0	8.3	-4.6
5000	17	6.5	-3.7
10000	31	5.1	-3.0
20000	55	3.8	-2.3
50000	110	2.5	-1.7
100000	180	1.9	-1.4
200000	270	1.7	-1.2
500000	460	1.7	-1.1
1.e6	660	1.8	-1.0
2.e6	920	1.9	-1.0
5.e6	1400	2.1	-0.9
1.e7	1900	2.2	-0.9
2.e7	2500	2.3	-0.9
5.e7	3700	2.5	-0.9
1.e8	4800	2.7	-1.0
2.e8	6200	2.8	-1.0
5.e8	8700	3.0	-1.1
1.e9	11000	3.1	-1.2
2.e9	14000	3.3	-1.2
5.e9	19000	3.4	-1.4
1.e10	24000	3.6	-1.5
2.e10	30000	3.7	-1.6
5.e10	39000	3.8	-1.7
1.e11	48000	4.0	-1.8
2.e11	59000	4.1	-1.9
5.e11	75000	4.2	-2.0
