50	0.05	12.0	-6.4
100	0.12	10.7	-5.7
200	0.24	9.6	-5.1
500	0.61	8.6	-4.6
1000	1.2	7.8	-4.2
2000	2.4	7.0	-3.8
5000	5.8	5.7	-3.2
10000	11	4.6	-2.7
20000	19	3.6	-2.1
50000	39	2.4	-1.5
100000	64	1.7	-1.2
200000	99	1.4	-1.
500000	170	1.4	-0.9
1.e6	240	1.5	-0.8
2.e6	350	1.6	-0.8
5.e6	530	1.9	-0.8
1.e7	730	2.0	-0.8
2.e7	980	2.2	-0.8
5.e7	1400	2.4	-0.9
1.e8	1900	2.6	-0.9
2.e8	2400	2.7	-1.
5.e8	3400	2.9	-1.
1.e9	4400	3.0	-1.1
2.e9	5600	3.2	-1.2
5.e9	7600	3.4	-1.3
1.e10	9600	3.5	-1.4
2.e10	12000	3.6	-1.5
5.e10	16000	3.8	-1.7
1.e11	20000	3.9	-1.8
2.e11	24000	4.0	-1.9
5.e11	31000	4.2	-2.0
