50	0.2	17.4	-10.5
100	0.42	15.6	-9.0
200	0.86	14.2	-8.1
500	2.2	12.8	-7.2
1000	4.3	11.6	-6.6
2000	8.5	10.4	-6.0
5000	20	8.3	-4.9
10000	36	6.6	-4.0
20000	64	4.9	-3.1
50000	130	3.0	-2.1
100000	200	2.1	-1.6
200000	300	1.6	-1.2
500000	490	1.5	-1.0
1.e6	700	1.6	-0.9
2.e6	970	1.8	-0.9
5.e6	1500	2.0	-0.9
1.e7	2000	2.1	-0.9
2.e7	2600	2.3	-0.9
5.e7	3700	2.5	-0.9
1.e8	4900	2.6	-0.9
2.e8	6300	2.8	-1.0
5.e8	8700	3.0	-1.1
1.e9	11000	3.1	-1.2
2.e9	14000	3.2	-1.2
5.e9	19000	3.4	-1.4
1.e10	24000	3.5	-1.5
2.e10	30000	3.7	-1.6
5.e10	39000	3.8	-1.7
1.e11	48000	4.0	-1.8
2.e11	59000	4.1	-1.9
5.e11	75000	4.2	-2.0
