50	0.05	13.3	-7.1
100	0.12	11.8	-6.3
200	0.24	10.8	-5.7
500	0.61	9.6	-5.1
1000	1.2	8.7	-4.7
2000	2.4	7.8	-4.3
5000	5.7	6.4	-3.6
10000	11	5.3	-3.
20000	19	4.1	-2.4
50000	39	2.7	-1.7
100000	63	1.9	-1.3
200000	98	1.5	-1.1
500000	170	1.4	-0.9
1.e6	240	1.5	-0.8
2.e6	340	1.6	-0.8
5.e6	530	1.8	-0.8
1.e7	730	2.0	-0.8
2.e7	980	2.2	-0.8
5.e7	1400	2.4	-0.8
1.e8	1900	2.5	-0.9
2.e8	2400	2.7	-0.9
5.e8	3400	2.9	-1.
1.e9	4400	3.0	-1.1
2.e9	5600	3.2	-1.2
5.e9	7600	3.4	-1.3
1.e10	9600	3.5	-1.4
2.e10	12000	3.6	-1.5
5.e10	16000	3.8	-1.7
1.e11	20000	3.9	-1.8
2.e11	24000	4.0	-1.9
5.e11	31000	4.2	-2.0
